"tag_id","tag_name"
1,"Travel"
2,"Gadgets"
3,"Automotive"
4,"Books"
5,"Cleaning"
6,"Kids"
7,"Lighting"
8,"Automotive"
9,"Bedding"
10,"Photography"
11,"Security"
12,"Office Supplies"
13,"Furniture"
14,"Education"
15,"Personal Care"
16,"Music"
17,"Software"
18,"Tools"
19,"Sports"
20,"Footwear"
21,"Snacks"
22,"Home Appliances"
23,"Personal Care"
24,"Wearable"
25,"Bedding"
26,"Beauty"
27,"Snacks"
28,"Cleaning"
29,"Office Supplies"
30,"Crafts"
31,"Bath"
32,"Hardware"
33,"Smart Devices"
34,"Electronics"
35,"Safety"
36,"Organization"
37,"Health"
38,"Health"
39,"Fitness"
40,"Cleaning"
41,"Crafts"
42,"Accessories"
43,"Tools"
44,"Electronics"
45,"Education"
46,"Art Supplies"
47,"Smart Devices"
48,"Photography"
49,"Decor"
50,"Grocery"
